op,bytes,provider,threads,trial,wall_ns_per_iter,cpu_ns_per_iter
parse_comment_many,1048576,oracle,1,1,673216.0,669590.9
parse_comment_many,1048576,cand-off,1,1,393320.1,392136.4
parse_comment_many,1048576,cand-auto8,8,1,280367.9,698000.0
parse_comment_many,1048576,cand-auto16,16,1,289751.5,1154386.4
parse_comment_many,1048576,cand-on8,8,1,286523.3,708363.6
parse_comment_many,1048576,cand-on8,8,2,297864.6,736795.5
parse_comment_many,1048576,cand-auto16,16,2,273928.7,1123568.2
parse_comment_many,1048576,cand-auto8,8,2,267731.9,664818.2
parse_comment_many,1048576,cand-off,1,2,386984.2,386477.3
parse_comment_many,1048576,oracle,1,2,676847.6,675295.5
parse_comment_many,1048576,oracle,1,3,675024.2,673681.8
parse_comment_many,1048576,cand-off,1,3,392309.9,390840.9
parse_comment_many,1048576,cand-auto8,8,3,268875.1,644227.3
parse_comment_many,1048576,cand-auto16,16,3,274424.1,1116704.5
parse_comment_many,1048576,cand-on8,8,3,265960.2,666727.3
parse_comment_many,1048576,cand-on8,8,4,278376.0,678272.7
parse_comment_many,1048576,cand-auto16,16,4,280903.9,1115068.2
parse_comment_many,1048576,cand-auto8,8,4,286290.1,732590.9
parse_comment_many,1048576,cand-off,1,4,407988.8,406409.1
parse_comment_many,1048576,oracle,1,4,678951.3,677954.5
parse_comment_many,1048576,oracle,1,5,672062.5,670409.1
parse_comment_many,1048576,cand-off,1,5,425273.3,423545.5
parse_comment_many,1048576,cand-auto8,8,5,346800.5,725681.8
parse_comment_many,1048576,cand-auto16,16,5,299628.3,1091750.0
parse_comment_many,1048576,cand-on8,8,5,282943.9,692272.7
parse_comment_many,1048576,cand-on8,8,6,293089.1,718340.9
parse_comment_many,1048576,cand-auto16,16,6,289674.8,1147750.0
parse_comment_many,1048576,cand-auto8,8,6,278918.9,694454.5
parse_comment_many,1048576,cand-off,1,6,420449.5,399340.9
parse_comment_many,1048576,oracle,1,6,675607.3,673522.7
parse_comment_many,1048576,oracle,1,7,699430.1,670727.3
parse_comment_many,1048576,cand-off,1,7,397861.3,395159.1
parse_comment_many,1048576,cand-auto8,8,7,285238.4,675136.4
parse_comment_many,1048576,cand-auto16,16,7,374647.2,1201795.5
parse_comment_many,1048576,cand-on8,8,7,320477.4,760363.6
parse_comment_many,4194304,oracle,1,1,2903869.0,2895555.6
parse_comment_many,4194304,cand-off,1,1,1647448.7,1636888.9
parse_comment_many,4194304,cand-auto8,8,1,1375392.0,3070111.1
parse_comment_many,4194304,cand-auto16,16,1,1310003.4,3422333.3
parse_comment_many,4194304,cand-on8,8,1,1334570.3,2934000.0
parse_comment_many,4194304,cand-on8,8,2,1287894.6,2624111.1
parse_comment_many,4194304,cand-auto16,16,2,1169225.7,3520333.3
parse_comment_many,4194304,cand-auto8,8,2,1178181.2,2707222.2
parse_comment_many,4194304,cand-off,1,2,1638134.7,1634111.1
parse_comment_many,4194304,oracle,1,2,2949524.0,2944111.1
parse_comment_many,4194304,oracle,1,3,2879671.8,2874000.0
parse_comment_many,4194304,cand-off,1,3,1716708.9,1702222.2
parse_comment_many,4194304,cand-auto8,8,3,1172795.7,2507222.2
parse_comment_many,4194304,cand-auto16,16,3,1080422.6,3306666.7
parse_comment_many,4194304,cand-on8,8,3,1199221.6,2593888.9
parse_comment_many,4194304,cand-on8,8,4,1204268.8,2655888.9
parse_comment_many,4194304,cand-auto16,16,4,1277063.2,3612222.2
parse_comment_many,4194304,cand-auto8,8,4,1331402.2,2933111.1
parse_comment_many,4194304,cand-off,1,4,1655793.1,1635000.0
