shape,bytes,mode,threads,best_ns,mb_per_s,speedup_vs_off1,efficiency,cycles_per_byte,rss_kib
dense_comment,262144,off,1,2588004,96.6,1.002,1.002,47.3878,6412
dense_comment,262144,on,1,2617369,95.5,0.991,0.991,47.9255,6428
dense_comment,262144,on,4,2969045,84.2,0.874,0.218,54.3648,6408
dense_comment,262144,on,8,2979184,83.9,0.871,0.109,54.5505,6348
dense_comment,262144,on,16,2977059,84.0,0.871,0.054,54.5116,6596
dense_comment,262144,auto,1,2602842,96.0,0.997,0.997,47.6595,6540
dense_comment,262144,auto,4,2582644,96.8,1.004,0.251,47.2896,6428
dense_comment,262144,auto,8,2586892,96.6,1.003,0.125,47.3674,6540
dense_comment,262144,auto,16,2583746,96.8,1.004,0.063,47.3098,6284
dense_comment,1048576,off,1,14770583,67.7,0.999,0.999,67.6144,21132
dense_comment,1048576,on,1,15011181,66.6,0.983,0.983,68.7157,21072
dense_comment,1048576,on,4,16846211,59.4,0.876,0.219,77.1158,21068
dense_comment,1048576,on,8,16791700,59.6,0.879,0.110,76.8663,21084
dense_comment,1048576,on,16,16875927,59.3,0.874,0.055,77.2519,21024
dense_comment,1048576,auto,1,14791341,67.6,0.998,0.998,67.7094,20772
dense_comment,1048576,auto,4,16671596,60.0,0.885,0.221,76.3165,21132
dense_comment,1048576,auto,8,16846682,59.4,0.876,0.109,77.1180,21192
dense_comment,1048576,auto,16,16890844,59.2,0.874,0.055,77.3201,21388
dense_comment,4194304,off,1,63225622,63.3,0.992,0.992,72.3560,78232
dense_comment,4194304,on,1,63104227,63.4,0.994,0.994,72.2171,78372
dense_comment,4194304,on,4,63133080,63.4,0.994,0.248,72.2501,78480
dense_comment,4194304,on,8,63068830,63.4,0.995,0.124,72.1765,78488
dense_comment,4194304,on,16,62418138,64.1,1.005,0.063,71.4319,78480
dense_comment,4194304,auto,1,63209082,63.3,0.992,0.992,72.3371,78104
dense_comment,4194304,auto,4,63307335,63.2,0.991,0.248,72.4495,78092
dense_comment,4194304,auto,8,63292227,63.2,0.991,0.124,72.4322,78424
dense_comment,4194304,auto,16,65348740,61.2,0.960,0.060,74.7857,78488
dense_comment,16777216,off,1,254145749,63.0,0.995,0.995,72.7117,297344
dense_comment,16777216,on,1,244912809,65.3,1.032,1.032,70.0701,298000
dense_comment,16777216,on,4,254742852,62.8,0.992,0.248,72.8825,297648
dense_comment,16777216,on,8,250757224,63.8,1.008,0.126,71.7422,298008
dense_comment,16777216,on,16,251407677,63.6,1.005,0.063,71.9283,297380
dense_comment,16777216,auto,1,252287216,63.4,1.002,1.002,72.1800,297752
dense_comment,16777216,auto,4,253904472,63.0,0.996,0.249,72.6427,297620
dense_comment,16777216,auto,8,251673062,63.6,1.004,0.126,72.0042,298008
dense_comment,16777216,auto,16,250444804,63.9,1.009,0.063,71.6528,297728
dense,262144,off,1,4215288,59.3,0.987,0.987,77.1842,8332
dense,262144,on,1,4157860,60.1,1.000,1.000,76.1327,8324
dense,262144,on,4,4245414,58.9,0.980,0.245,77.7359,8332
dense,262144,on,8,4190862,59.7,0.993,0.124,76.7370,8332
dense,262144,on,16,4171145,59.9,0.997,0.062,76.3759,8332
dense,262144,auto,1,4151749,60.2,1.002,1.002,76.0208,8304
dense,262144,auto,4,4159554,60.1,1.000,0.250,76.1637,8284
dense,262144,auto,8,4213654,59.3,0.987,0.123,77.1543,8268
dense,262144,auto,16,4258719,58.7,0.977,0.061,77.9795,8332
dense,1048576,off,1,16564878,60.4,1.003,1.003,75.8280,22632
dense,1048576,on,1,16437540,60.8,1.011,1.011,75.2451,22732
dense,1048576,on,4,16485039,60.7,1.008,0.252,75.4625,22796
dense,1048576,on,8,16357762,61.1,1.016,0.127,74.8799,22748
dense,1048576,on,16,16408175,60.9,1.013,0.063,75.1107,22796
dense,1048576,auto,1,16285767,61.4,1.020,1.020,74.5503,22796
dense,1048576,auto,4,16292770,61.4,1.020,0.255,74.5824,22860
dense,1048576,auto,8,16385613,61.0,1.014,0.127,75.0074,22796
dense,1048576,auto,16,16514914,60.6,1.006,0.063,75.5993,22748
dense,4194304,off,1,64730900,61.8,1.002,1.002,74.0786,79888
dense,4194304,on,1,64074055,62.4,1.013,1.013,73.3269,79976
dense,4194304,on,4,64908120,61.6,1.000,0.250,74.2814,79952
dense,4194304,on,8,66881599,59.8,0.970,0.121,76.5399,79792
dense,4194304,on,16,65022273,61.5,0.998,0.062,74.4121,79908
dense,4194304,auto,1,64586320,61.9,1.005,1.005,73.9132,79832
dense,4194304,auto,4,65052199,61.5,0.998,0.249,74.4463,79884
dense,4194304,auto,8,65138550,61.4,0.996,0.125,74.5452,80020
dense,4194304,auto,16,67026439,59.7,0.968,0.061,76.7057,79896
dense,16777216,off,1,259298369,61.7,0.982,0.982,74.1859,299184
dense,16777216,on,1,250054398,64.0,1.018,1.018,71.5411,299168
dense,16777216,on,4,252270249,63.4,1.009,0.252,72.1751,299156
dense,16777216,on,8,245970356,65.0,1.035,0.129,70.3727,299092
dense,16777216,on,16,251843244,63.5,1.011,0.063,72.0529,299396
dense,16777216,auto,1,254088579,63.0,1.002,1.002,72.6953,299256
dense,16777216,auto,4,253849734,63.0,1.003,0.251,72.6270,299544
dense,16777216,auto,8,254706633,62.8,0.999,0.125,72.8722,299412
dense,16777216,auto,16,252718487,63.3,1.007,0.063,72.3033,299608
