shape,bytes,mode,threads,best_ns,mb_per_s,speedup_vs_off1,efficiency,cycles_per_byte,rss_kib
one_comment,262144,off,1,59742,4184.7,1.000,1.000,1.0939,3920
one_comment,262144,on,1,121236,2062.1,0.493,0.493,2.2199,3884
one_comment,262144,on,2,52268,4783.0,1.143,0.571,0.9571,3920
one_comment,262144,on,4,55023,4543.6,1.086,0.271,1.0075,4100
one_comment,262144,on,8,45685,5472.3,1.307,0.163,0.8365,4020
one_comment,262144,on,16,61835,4043.0,0.966,0.060,1.1322,4120
one_comment,262144,auto,1,73817,3386.8,0.809,0.809,1.3516,3812
one_comment,262144,auto,2,52588,4753.9,1.136,0.568,0.9629,3948
one_comment,262144,auto,4,55654,4492.0,1.073,0.268,1.0191,3804
one_comment,262144,auto,8,44383,5632.8,1.346,0.168,0.8127,3872
one_comment,262144,auto,16,52528,4759.4,1.137,0.071,0.9618,4480
one_comment,1048576,off,1,254414,3930.6,1.003,1.003,1.1646,6276
one_comment,1048576,on,1,349051,2864.9,0.731,0.731,1.5978,6228
one_comment,1048576,on,2,166540,6004.6,1.532,0.766,0.7624,5968
one_comment,1048576,on,4,151502,6600.6,1.684,0.421,0.6935,6208
one_comment,1048576,on,8,118751,8421.0,2.149,0.269,0.5436,6280
one_comment,1048576,on,16,141324,7075.9,1.806,0.113,0.6469,6196
one_comment,1048576,auto,1,271826,3678.8,0.939,0.939,1.2443,6260
one_comment,1048576,auto,2,166190,6017.2,1.536,0.768,0.7608,6292
one_comment,1048576,auto,4,142275,7028.6,1.794,0.448,0.6513,6172
one_comment,1048576,auto,8,124311,8044.3,2.053,0.257,0.5691,6092
one_comment,1048576,auto,16,140842,7100.2,1.812,0.113,0.6447,6216
one_comment,4194304,off,1,1004332,3982.7,1.021,1.021,1.1494,15484
one_comment,4194304,on,1,1014801,3941.7,1.010,1.010,1.1613,15532
one_comment,4194304,on,2,617190,6481.0,1.661,0.831,0.7063,15360
one_comment,4194304,on,4,484513,8255.7,2.116,0.529,0.5545,15516
one_comment,4194304,on,8,416436,9605.3,2.462,0.308,0.4766,15400
one_comment,4194304,on,16,435171,9191.8,2.356,0.147,0.4980,15584
one_comment,4194304,auto,1,1058744,3778.1,0.968,0.968,1.2116,15328
one_comment,4194304,auto,2,624804,6402.0,1.641,0.821,0.7150,15428
one_comment,4194304,auto,4,451271,8863.9,2.272,0.568,0.5164,15504
one_comment,4194304,auto,8,413791,9666.7,2.478,0.310,0.4735,15416
one_comment,4194304,auto,16,421415,9491.8,2.433,0.152,0.4823,15364
one_comment,16777216,off,1,4270871,3746.3,1.015,1.015,1.2219,52312
one_comment,16777216,on,1,7717315,2073.3,0.562,0.562,2.2079,52308
one_comment,16777216,on,2,2530076,6323.9,1.713,0.857,0.7239,52336
one_comment,16777216,on,4,1980061,8080.6,2.189,0.547,0.5665,52172
one_comment,16777216,on,8,1571509,10181.3,2.758,0.345,0.4496,52412
one_comment,16777216,on,16,1426329,11217.6,3.039,0.190,0.4081,52484
one_comment,16777216,auto,1,4284516,3734.4,1.012,1.012,1.2258,52328
one_comment,16777216,auto,2,2365729,6763.2,1.832,0.916,0.6768,52420
one_comment,16777216,auto,4,1814783,8816.5,2.389,0.597,0.5192,52400
one_comment,16777216,auto,8,1600884,9994.5,2.708,0.338,0.4580,52372
one_comment,16777216,auto,16,1558626,10265.5,2.781,0.174,0.4459,52432
one_comment,67108864,off,1,25378445,2521.8,1.021,1.021,1.8152,199776
one_comment,67108864,on,1,25265094,2533.1,1.026,1.026,1.8071,199800
one_comment,67108864,on,2,18379229,3482.2,1.410,0.705,1.3146,199860
one_comment,67108864,on,4,16428482,3895.7,1.578,0.394,1.1751,199820
one_comment,67108864,on,8,15366934,4164.8,1.687,0.211,1.0991,199844
one_comment,67108864,on,16,15237702,4200.1,1.701,0.106,1.0899,200204
one_comment,67108864,auto,1,26357130,2428.2,0.983,0.983,1.8852,199656
one_comment,67108864,auto,2,17863567,3582.7,1.451,0.726,1.2777,199776
one_comment,67108864,auto,4,16797089,3810.2,1.543,0.386,1.2014,199924
one_comment,67108864,auto,8,15186658,4214.2,1.707,0.213,1.0862,199952
one_comment,67108864,auto,16,14494758,4415.4,1.788,0.112,1.0367,200052
many_comment,262144,off,1,71733,3485.1,1.007,1.007,1.3135,3584
many_comment,262144,on,1,146854,1702.4,0.492,0.492,2.6890,3660
many_comment,262144,on,2,79848,3130.9,0.904,0.452,1.4621,3680
many_comment,262144,on,4,85539,2922.6,0.844,0.211,1.5663,3720
many_comment,262144,on,8,93815,2664.8,0.770,0.096,1.7178,3628
many_comment,262144,on,16,92382,2706.2,0.782,0.049,1.6916,3852
many_comment,262144,auto,1,71403,3501.3,1.011,1.011,1.3074,3536
many_comment,262144,auto,2,72395,3453.3,0.997,0.499,1.3256,3608
many_comment,262144,auto,4,72084,3468.2,1.002,0.250,1.3199,3812
many_comment,262144,auto,8,72014,3471.5,1.003,0.125,1.3186,3600
many_comment,262144,auto,16,72996,3424.8,0.989,0.062,1.3366,3752
many_comment,1048576,off,1,348479,2869.6,0.995,0.995,1.5952,5100
many_comment,1048576,on,1,386531,2587.1,0.897,0.897,1.7694,5168
many_comment,1048576,on,2,300631,3326.3,1.153,0.577,1.3762,5148
many_comment,1048576,on,4,279822,3573.7,1.239,0.310,1.2809,5220
many_comment,1048576,on,8,214389,4664.4,1.617,0.202,0.9814,5268
many_comment,1048576,on,16,230780,4333.1,1.502,0.094,1.0564,5156
many_comment,1048576,auto,1,333933,2994.6,1.038,1.038,1.5286,5292
many_comment,1048576,auto,2,284791,3511.3,1.217,0.609,1.3037,5292
many_comment,1048576,auto,4,274733,3639.9,1.262,0.315,1.2576,5436
many_comment,1048576,auto,8,253563,3943.8,1.367,0.171,1.1607,5164
many_comment,1048576,auto,16,233846,4276.3,1.483,0.093,1.0705,5348
many_comment,4194304,off,1,1405931,2845.1,1.004,1.004,1.6090,11284
many_comment,4194304,on,1,2299526,1739.5,0.614,0.614,2.6316,11472
many_comment,4194304,on,2,1116000,3584.2,1.264,0.632,1.2772,11500
many_comment,4194304,on,4,1056970,3784.4,1.335,0.334,1.2096,11404
many_comment,4194304,on,8,934752,4279.2,1.510,0.189,1.0697,11460
many_comment,4194304,on,16,847580,4719.3,1.665,0.104,0.9700,11612
many_comment,4194304,auto,1,1396783,2863.7,1.010,1.010,1.5985,11432
many_comment,4194304,auto,2,1135917,3521.4,1.242,0.621,1.3000,11476
many_comment,4194304,auto,4,1132020,3533.5,1.246,0.312,1.2955,11476
many_comment,4194304,auto,8,943328,4240.3,1.496,0.187,1.0796,11528
many_comment,4194304,auto,16,838072,4772.9,1.684,0.105,0.9591,11592
many_comment,16777216,off,1,6217339,2573.4,0.995,0.995,1.7788,36528
many_comment,16777216,on,1,9918318,1613.2,0.623,0.623,2.8377,36428
many_comment,16777216,on,2,5213829,3068.8,1.186,0.593,1.4917,36472
many_comment,16777216,on,4,4659345,3434.0,1.327,0.332,1.3330,36460
many_comment,16777216,on,8,4179761,3828.0,1.479,0.185,1.1958,36600
many_comment,16777216,on,16,3928713,4072.6,1.574,0.098,1.1240,36724
many_comment,16777216,auto,1,6175421,2590.9,1.001,1.001,1.7668,36412
many_comment,16777216,auto,2,4948063,3233.6,1.250,0.625,1.4157,36576
many_comment,16777216,auto,4,4979011,3213.5,1.242,0.310,1.4245,36420
many_comment,16777216,auto,8,4261664,3754.4,1.451,0.181,1.2193,36276
many_comment,16777216,auto,16,3959110,4041.3,1.562,0.098,1.1327,36504
many_comment,67108864,off,1,28710095,2229.2,0.986,0.986,2.0535,136264
many_comment,67108864,on,1,34121762,1875.6,0.830,0.830,2.4406,136212
many_comment,67108864,on,2,22394574,2857.8,1.264,0.632,1.6018,136496
many_comment,67108864,on,4,17891249,3577.2,1.582,0.396,1.2797,136276
many_comment,67108864,on,8,18160411,3524.1,1.559,0.195,1.2989,136384
many_comment,67108864,on,16,17535155,3649.8,1.615,0.101,1.2542,136564
many_comment,67108864,auto,1,27442683,2332.1,1.032,1.032,1.9629,136156
many_comment,67108864,auto,2,21036221,3042.4,1.346,0.673,1.5046,136424
many_comment,67108864,auto,4,19684552,3251.3,1.438,0.360,1.4079,136340
many_comment,67108864,auto,8,18579262,3444.7,1.524,0.190,1.3289,136336
many_comment,67108864,auto,16,17223484,3715.9,1.644,0.103,1.2319,136672
one_cdata,262144,off,1,84968,2942.3,1.006,1.006,1.5558,3716
one_cdata,262144,on,1,91431,2734.3,0.934,0.934,1.6742,3644
one_cdata,262144,on,2,72916,3428.6,1.172,0.586,1.3351,3616
one_cdata,262144,on,4,73998,3378.5,1.155,0.289,1.3549,3848
one_cdata,262144,on,8,86491,2890.5,0.988,0.123,1.5837,3616
one_cdata,262144,on,16,95327,2622.6,0.896,0.056,1.7455,3808
one_cdata,262144,auto,1,99125,2522.1,0.862,0.862,1.8150,3684
one_cdata,262144,auto,2,73627,3395.5,1.160,0.580,1.3482,3728
one_cdata,262144,auto,4,68738,3637.0,1.243,0.311,1.2586,3552
one_cdata,262144,auto,8,84417,2961.5,1.012,0.127,1.5457,3536
one_cdata,262144,auto,16,83145,3006.8,1.028,0.064,1.5224,3860
one_cdata,1048576,off,1,352868,2833.9,1.000,1.000,1.6153,5128
one_cdata,1048576,on,1,349090,2864.6,1.011,1.011,1.5980,5088
one_cdata,1048576,on,2,249756,4003.9,1.413,0.706,1.1433,5208
one_cdata,1048576,on,4,227955,4386.8,1.548,0.387,1.0435,5280
one_cdata,1048576,on,8,226683,4411.4,1.556,0.195,1.0377,5192
one_cdata,1048576,on,16,208388,4798.7,1.693,0.106,0.9539,5092
one_cdata,1048576,auto,1,377945,2645.9,0.933,0.933,1.7301,5100
one_cdata,1048576,auto,2,262128,3814.9,1.346,0.673,1.1999,5216
one_cdata,1048576,auto,4,243854,4100.8,1.447,0.362,1.1163,5272
one_cdata,1048576,auto,8,260476,3839.1,1.354,0.169,1.1924,5224
one_cdata,1048576,auto,16,211294,4732.7,1.670,0.104,0.9672,5220
one_cdata,4194304,off,1,1060377,3772.2,0.931,0.931,1.2135,11372
one_cdata,4194304,on,1,972482,4113.2,1.015,1.015,1.1129,11364
one_cdata,4194304,on,2,575743,6947.5,1.715,0.857,0.6589,11472
one_cdata,4194304,on,4,456992,8752.9,2.160,0.540,0.5230,11444
one_cdata,4194304,on,8,390548,10242.0,2.528,0.316,0.4469,11364
one_cdata,4194304,on,16,370360,10800.3,2.665,0.167,0.4238,11544
one_cdata,4194304,auto,1,1054896,3791.8,0.936,0.936,1.2072,11396
one_cdata,4194304,auto,2,569592,7022.6,1.733,0.867,0.6518,11328
one_cdata,4194304,auto,4,596021,6711.2,1.656,0.414,0.6821,11436
one_cdata,4194304,auto,8,370601,10793.3,2.664,0.333,0.4241,11416
one_cdata,4194304,auto,16,413801,9666.5,2.386,0.149,0.4736,11468
one_cdata,16777216,off,1,4091847,3910.2,1.010,1.010,1.1707,35952
one_cdata,16777216,on,1,3730724,4288.7,1.108,1.108,1.0674,35976
