shape,bytes,threshold,off_ns,auto_ns,speedup,mbps
one_comment,1048576,262144,450608,336476,1.339,2972.0
one_comment,1048576,1048576,450608,296752,1.518,3369.8
one_comment,1048576,4194304,450608,475535,0.948,2102.9
one_comment,4194304,262144,1440219,888533,1.621,4501.8
one_comment,4194304,1048576,1440219,910524,1.582,4393.1
one_comment,4194304,4194304,1440219,936832,1.537,4269.7
one_comment,16777216,262144,4823723,2013234,2.396,7947.4
one_comment,16777216,1048576,4823723,2069700,2.331,7730.6
one_comment,16777216,4194304,4823723,3072775,1.570,5207.0
one_comment,67108864,262144,24790082,13723969,1.806,4663.4
one_comment,67108864,1048576,24790082,12832631,1.932,4987.3
one_comment,67108864,4194304,24790082,13782978,1.799,4643.4
one_cdata,1048576,262144,327108,225369,1.451,4437.2
one_cdata,1048576,1048576,327108,208087,1.572,4805.7
one_cdata,1048576,4194304,327108,350242,0.934,2855.2
one_cdata,4194304,262144,970726,365520,2.656,10943.3
one_cdata,4194304,1048576,970726,380958,2.548,10499.8
one_cdata,4194304,4194304,970726,391388,2.480,10220.0
one_cdata,16777216,262144,3843800,1225960,3.135,13051.0
one_cdata,16777216,1048576,3843800,1463903,2.626,10929.7
one_cdata,16777216,4194304,3843800,1477939,2.601,10825.9
one_cdata,67108864,262144,18498239,5948405,3.110,10759.2
one_cdata,67108864,1048576,18498239,7273019,2.543,8799.6
one_cdata,67108864,4194304,18498239,8862565,2.087,7221.4
many_comment,1048576,262144,342337,215120,1.591,4648.6
many_comment,1048576,1048576,342337,342727,0.999,2917.8
many_comment,1048576,4194304,342337,345303,0.991,2896.0
many_comment,4194304,262144,1382281,878935,1.573,4551.0
many_comment,4194304,1048576,1382281,834462,1.656,4793.5
many_comment,4194304,4194304,1382281,1388843,0.995,2880.1
many_comment,16777216,262144,5908741,3979723,1.485,4020.4
many_comment,16777216,1048576,5908741,3629241,1.628,4408.6
many_comment,16777216,4194304,5908741,3863055,1.530,4141.8
many_comment,67108864,262144,27076366,16628983,1.628,3848.7
many_comment,67108864,1048576,27076366,18700606,1.448,3422.3
many_comment,67108864,4194304,27076366,19063822,1.420,3357.1
many_cdata,1048576,262144,307291,195634,1.571,5111.6
many_cdata,1048576,1048576,307291,312281,0.984,3202.2
many_cdata,1048576,4194304,307291,309185,0.994,3234.3
many_cdata,4194304,262144,1247109,766757,1.626,5216.8
many_cdata,4194304,1048576,1247109,731540,1.705,5467.9
many_cdata,4194304,4194304,1247109,1244885,1.002,3213.1
many_cdata,16777216,262144,5205463,3052218,1.705,5242.1
many_cdata,16777216,1048576,5205463,3226732,1.613,4958.6
many_cdata,16777216,4194304,5205463,2944387,1.768,5434.1
many_cdata,67108864,262144,24227196,13651223,1.775,4688.2
many_cdata,67108864,1048576,24227196,15406659,1.573,4154.0
many_cdata,67108864,4194304,24227196,16177533,1.498,3956.1
